device_type,brand,model,age_months,total_repairs,months_since_last_repair,total_cost,last_repair_type,season,next_failure_type,failure_probability,will_fail_soon
tablet,Apple,iPad Air 5,36,4,15,2232.11,screen_damage,1,screen_damage,0.552,1
tablet,Samsung,Galaxy Tab S9,4,1,0,546.59,software_issue,1,screen_damage,0.371,0
tablet,Apple,iPad 10,70,4,26,2204.41,battery_degradation,1,charging_port,0.568,1
phone,Xiaomi,Poco F5,44,2,17,777.4,screen_damage,3,battery_degradation,0.62,1
phone,Apple,iPhone 14,13,0,13,0.0,none,3,charging_port,0.087,0
tablet,Samsung,Galaxy Tab S9,59,4,34,1248.26,touchscreen_failure,1,screen_damage,0.679,1
tablet,Samsung,Galaxy Tab S8,47,0,47,0.0,none,1,water_damage,0.35,0
phone,Xiaomi,Redmi Note 12,38,3,5,6414.88,water_damage,4,battery_degradation,0.722,1
laptop,Dell,Latitude 5530,47,1,10,925.45,battery_degradation,3,software_issue,0.444,0
tablet,Lenovo,Tab P11,22,0,22,0.0,none,2,touchscreen_failure,0.217,0
phone,Samsung,Galaxy A34,35,2,35,1098.08,screen_damage,1,motherboard_failure,0.34,0
phone,Apple,iPhone 13,52,5,17,827.36,screen_damage,3,screen_damage,0.701,1
phone,Xiaomi,Poco F5,51,2,29,714.36,speaker_failure,3,battery_degradation,0.433,0
tablet,Lenovo,Tab M10,52,2,23,1096.6,speaker_failure,4,screen_damage,0.568,1
phone,Apple,iPhone 11,20,2,20,799.91,screen_damage,1,speaker_failure,0.319,0
laptop,Dell,Latitude 5530,60,3,33,1885.61,keyboard_failure,1,battery_degradation,0.561,1
tablet,Lenovo,Tab P11,69,3,17,5764.49,battery_degradation,3,battery_degradation,0.576,1
laptop,Lenovo,IdeaPad 5,1,0,1,0.0,none,3,motherboard_failure,0.196,0
tablet,Apple,iPad 10,14,1,13,1563.25,screen_damage,2,software_issue,0.33,0
phone,Samsung,Galaxy S22,70,6,33,13777.4,screen_damage,4,screen_damage,0.67,1
phone,Apple,iPhone 13,40,2,15,289.63,touchscreen_failure,1,screen_damage,0.501,1
phone,Xiaomi,Poco F5,9,0,9,0.0,none,2,camera_failure,0.291,0
